Name,Crit,Hit,Str,Sta,Agi,AP,Dodge,Parry,Defense,AC,Skill,Type
cape du baron noir,,,,,15,20,,,,45,,
cape du bastion,,,,15,,,,,7,45,,
cape de sauvegarde,,,,,,,,,5,214,,
cape fantasmatique,,,12,11,,,,,,114,,
cape de lune blafarde,,,8,12,,,,,,44,,
cape de gargouille peau-de-pierre,,,7,14,8,,,,,43,,
la cape neuve de l'empereur,,,,16,7,,,,,43,,
cape d'eveil aux armes,,,,15,,16,,,,43,,
cape d'ombrebois,,,13,7,,,,,,42,,
cape du fantome noir,,,,,15,,,,,39,,
houppelande coupe-braise,,,,3,15,,,,,39,,
cape du voile noir,,,6,,14,,,,,38,,
cape de metal-noir,,,,5,12,,,,,33,,
