Name,Crit,Hit,Str,Sta,Agi,AP,Dodge,Parry,Defense,AC,Skill,Type
bottes en metal sales,,,17,,,,1,,,552,,
bottes en mailles sanglantes,,1,9,10,9,,,,,247,,
bottes du dechirevent,,1,,,20,,,,,247,,
bottes des ossements,,,,9,,,,,10,438,,
bottes nervurees,,,10,17,10,,,,,438,,
bottes de maitre cannonier,,,10,21,,,,,,438,,
bottes de vaillance,,,8,20,4,,,,,424,,
bottes de bestiaire,,,,9,21,,,,,240,,
bottes en ecaille de saphiron,,,14,14,9,,,,,417,,
bottes de gladiateur sauvage,,,10,13,15,,,,,233,,
bottes du chasseur de guerre,,,14,8,13,,,,,397,,
