Name,Crit,Hit,Str,Sta,Agi,AP,Dodge,Parry,Defense,AC,Skill,Type
gantelets de l'etreinte osseusse,,,15,14,,,,,7,404,5,Dagger
gants de tir rapide,,,7,7,8,,1,,,109,,
Tranche-gargouilles,1,,10,12,5,,,,,107,7,Varied
griffes de rapineur,1,,9,15,,,,,,398,,
gantelet des ossements,,,,14,,,,,10,398,,
gants cadaveriques,,,,9,,44,,,,107,,
poignes de fer de voone,,2,,6,9,,,,,221,,
gantelets poigne-de-pierre,,,9,14,,,,,10,392,,
Garde-mains gordoks,1,,10,14,,,,,,392,,
gantelets de vaillance,,,17,10,3,,,,,386,,
poings de phalange,,,20,9,,,,,,367,,
gantelets diablosaures,1,,,9,,28,,,,103,,
