Name,Crit,Hit,Str,Sta,Agi,AP,Dodge,Parry,Defense,AC,Skill,Type
Casque des taillis,1,,,13,21,,,,,301,6,Dagger
Oeil de Rend,2,,,7,13,,,,,143,,
Heaume de tyrannie,1,,,20,,40,,,,301,,
Heaume du grand croise,,,16,16,,,,,,584,,
Cagoule sombreruse,,,13,18,20,,,,,141,7,Axe
Casque de vaillance,,,15,23,9,,,,,526,,
Coiffe de bestiaire,,,,20,20,,,,,297,,
Casque de sancteforge,,,13,20,6,,,,,526,,
Heaume de thorium enchante,,,12,25,,,,,,526,,
Masque du condamne,1,2,,12,,,,,,132,,
Heaume de gladiateur sauvage,,,,28,12,,,,,275,,
Heaume du crane du golem,,,18,18,,,,,7,477,,
Cagoule rapiecee en cuir,,1,23,10,,,,,,130,,
Visiere de fureur,1,1,18,,,,,,,445,,
