Name,Crit,Hit,Str,Sta,Agi,AP,Dodge,Parry,Defense,AC,Skill,Type
jambieres de l'aile redoutable,,,15,16,15,,,,,575,,
jambieres de destruction,1,,,20,14,,,,,324,,
jambieres de maitre-lames,1,1,,,5,,,,,154,,
jambieres indicibles,1,,15,20,9,,,,,566,,
jambieres de vaillance,,,23,15,11,,,,,557,,
jambieres de sancteforge,,,20,14,8,,,,,557,,
pantalaon de bestiaire,,,6,6,26,,,,,315,,
jambieres en mailles sanglantes,,,15,16,12,,,,,315,,
jambieres de maitre forgeron,,,29,12,,,,,,548,,
jambieres de force volcanique,,,28,12,,,,,,531,,
jambieres diablosaures,1,,,12,,46,,,,148,,
