Name,Crit,Hit,Str,Sta,Agi,AP,Dodge,Parry,Defense,AC,Skill,Type
arc long d'eaglehorn,,,,4,10,,,,,,,
sanguinaire,,,8,,7,,,,,,,
arc gorewood,,,2,9,3,,,,,,,
baton à feu xorothien,,,,6,4,,,,,,,
arbalete en ecaille de carapace,,,,9,4,,,,,,,
arc d'os des anciens,,,,11,,,,,,,,
obusier portatif de willey,,,,9,,8,,,,,,
arracheur,,,,,,22,,,,,,
corbeau noir,,1,,3,,,,,,,,
arc du satyr,,1,,3,,,,,,,,
arquebuse a chevrotines,,,,8,,10,,,,,,
arc long d'aile gryphon,,,,4,8,,,,,,,
fendeuse de crane,,,3,,,14,,,,,,
