Name,Crit,Hit,Str,Sta,Agi,AP,Dodge,Parry,Defense,AC,Skill,Type
epaulieres langue-de-wyrm,,,,10,23,,,,,132,,
epaulieres ardentes,,,12,11,12,,,,,131,,
epaulieres de golem d'os,,,,9,19,,,,,274,,
spallieres gravees a la bile,,,17,,6,,,,,485,,
epaulieres de precision,,2,,,,24,,,,129,,
spallieress de l'invisible,,,,7,22,,,,,129,,
epaulieres de forme-pierre,,,,,,,,,7,688,,
spallieres sombreruse,,,,9,22,,,,,127,,
spallieres de vaillance,,,11,17,9,,,,,470,,
spallieres voilumineuses en fer,,,15,12,,,,,,470,,
mantelet de bestiaire,,,,17,11,,,,,266,,
spallieres de sancteforge,,,9,15,4,,,,,470,,
Garde-epaules de la milice de stratholme,,,,9,22,,,,,266,,
epaulieres claque-feu,,,,21,,20,,,,470,,
epaulieres tempetueuses,1,,,12,,,1,,,126,,
spallieres d'acier ebene,,,6,16,7,,,,,553,,
epaulieres d'acier-rasoir,,1,10,9,10,,,,,410,,
spallieress de tueur de wyrm,,,12,12,8,,,,,403,,
