Name,Crit,Hit,Str,Sta,Agi,AP,Dodge,Parry,Defense,AC,Skill,Type
ceinturon de brigam,,1,15,16,,,,,,369,,
ceinturon de maitre forgeron,,,11,10,10,,,,,519,,
ceinturon de l'agresseur,1,,,16,,,,,,98,,
ceinturon de givre,,,5,15,15,,,,,98,,
cordon de crochebois,1,,,6,14,,,,,202,,
ceinturon elementaire en plaques,,,17,10,,,,,,358,,
corset d'omokk,1,,15,9,,,,,,353,,
ceinturon stormpike en plaques,,,18,8,7,,,,,353,,
ceinturon sombreruse,,,9,10,14,,,,,93,,
ceinture de vaillance,,,14,8,7,,,,,341,,
echarpe serpentine,,,9,14,14,,,,,92,,
ceinturon d'uther,,,9,10,9,,,,,336,,
