Name,Crit,Hit,Str,Sta,Agi,AP,Dodge,Parry,Defense,AC,Skill,Type
bracieres de champs d'honneur,1,1,,,,,,,,287,,
Garde-bras de la brume noire,,1,5,13,,,,,,77,,
brasssards de puissance gordok,,,17,7,,,,,,287,,
Protege-bras d'acier glace,,,12,7,11,,,,,287,,
brassards en cuir de yetit,,,7,14,8,,,,,77,,
brasssards corrompus durcis,,,12,12,,,,,3,283,,
Protege-bras de vigueur,,,,17,7,,,,,283,,
brassards griffe-tranchantes,,1,,7,7,,,,,155,,
Protege-bras du sadique,,1,6,7,,,,,,270,,
Garde-bras seigneurieaux,,,7,7,7,,,,,153,,
brassards sombreruse,,,,7,15,,,,,71,,
brassards de vaillance,,,7,14,3,,,,,261,,
manchettes de bestiaire,,,,7,15,,,,,148,,
brassards de sancteforge,,,7,10,4,,,,,261,,
brassards de deepfury,,,4,4,15,,,,,69,,
Garde-bras rubiconds,,,,14,8,,,,,143,,
