970.9/236,984.9/236,998.9/236,1012.9/236,1026.9/236,1040.99/236,1055/236,1069/236,1083.03/236,1097/236,970.9/250,984.9/250,998.9/250,1012.9/250,1026.9/250,1055/250,1069/250,1083.03/250,1097/250,970.9/264,984.9/264,998.9/264,1012.9/264,1026.9/264,1040.99/264,1055/264,1069/264,1083.03/264,1097/264,970.9/278,984.9/278,998.9/278,1012.9/278,1026.9/278,1040.99/278,1055/278,1069/278,1083.03/278,1097/278,970.9/292,984.9/292,998.9/292,1012.9/292,1026.9/292,1040.99/292,1055/292,1069/292,1083.03/292,1097/292,970.9/306,984.9/306,998.9/306,1012.9/306,1026.9/306,1040.99/306,1055/306,1069/306,1083.03/306,1097/306,970.9/320,984.9/320,998.9/320,1012.9/320,1026.9/320,1040.99/320,1055/320,1069/320,1083.03/320,1097/320,Condition,Sample
33395,282334,53159,67800,3072,929,476,268,125,176,83555,81921,566238,73643,87694,3823,291,296,183,5679,233088,233864,1411507,184736,241593,8851,6444,101,43,8358,5981,114950,90661,603660,75983,74976,2449,1877,113,20766,59893,32514,537267,427814,3110605,241106,282122,180,129,882,375,9804,5547,81643,61664,251925,26039,25677,370,173,17702,8224,24557,9449,110241,55444,259484,19814,20647,NT,1-NT-J1
18466,105808,21822,31295,2031,1889,388,50,91,85,54183,60636,385581,74403,80049,3715,310,252,52,846,132987,142511,929006,153444,209989,10312,6776,434,132,2124,4387,45075,53039,285014,67171,67887,4128,1630,52,2283,25775,16937,204645,218166,1533333,218961,265397,150,116,528,95,6772,4831,62871,67288,331281,60679,58760,1933,388,9383,4742,15536,6830,95059,97810,480785,73422,68019,T,1-T-J1
23581,137532,33334,36033,3262,1299,340,97,61,52,65345,79259,485233,103045,113591,6111,716,318,26,764,148364,184914,1101412,209325,274175,17063,12049,234,208,5427,10945,56360,66642,378384,85394,90250,4848,3225,129,4066,22673,25430,265921,300302,2021439,324276,356962,1273,74,1135,241,10801,8917,88532,115380,517664,95548,80837,4306,273,12407,7127,19185,13139,176092,153614,780791,114105,96518,T,1-T-J9
37657,315672,75943,141409,7385,6708,507,225,134,103,86231,108399,898872,209987,274502,18759,143,376,182,382,204010,262988,2076763,392202,744220,43554,36518,34,292,2556,9141,73827,81655,630283,161783,234163,14480,8532,155,14070,36463,28252,378732,459187,4285969,774801,1118934,3426,87,833,234,13835,7369,98002,140070,867736,151091,195674,11388,125,16661,9012,24454,11489,186802,192535,1281147,208947,222498,T,3-T-J1
5325,35467,10992,17435,562,991,244,145,113,98,10094,11339,113922,24536,41584,1673,96,94,265,620,29559,38715,310989,59090,112060,4557,6137,98,101,1804,1841,12158,13944,99788,27004,40183,2155,1058,197,815,6337,3378,66443,75509,786571,147473,207359,158,144,308,389,1889,1108,20288,29082,183886,32120,39172,790,31,7325,1159,5410,2137,34035,43853,272158,50889,51995,T,3-T-J9
19946,309422,42446,100111,3649,2099,366,130,121,353,52268,54054,468358,72683,94085,4263,357,338,169,1824,227472,179469,1768678,191813,363973,12511,12077,495,97,1779,4226,64654,49174,427241,59045,88706,3972,3352,144,10047,45942,28068,485924,345229,3343000,346017,594286,1897,89,845,1000,7922,3905,65672,42375,363161,38601,56986,1094,84,5119,5416,24236,7376,154471,89556,739996,70432,105311,NT,3-NT-J11
9212,73109,18604,27869,2205,1556,140,87,155,108,17761,29586,203458,46850,59209,3957,103,228,160,302,51101,66451,492480,110762,176447,10339,8029,186,144,1866,1550,23147,32033,195559,52847,69575,4374,2597,85,2100,12311,10458,139909,182111,1411512,281741,336645,147,106,544,281,5361,3323,42828,57965,367515,67144,73495,3320,118,4102,3829,11304,5890,74612,85465,504838,90773,86074,T,3-T-J11
29157,256529,32563,46052,1520,1935,359,96,189,380,62460,54169,383361,48364,60953,1350,318,220,149,2139,218255,188291,1258031,146435,205704,7392,5162,201,96,3851,6295,100249,76955,569005,76470,85839,3651,2109,26,15987,66870,35045,737339,615030,4860646,438342,521516,180,86,713,94,13189,6514,117045,104511,538212,60058,54058,1006,353,19686,7617,32875,14583,252408,173610,964885,84538,85238,NT,4-NT-J1
23851,174570,34793,38924,2013,2480,254,180,61,26,43140,61034,375936,66917,66905,4646,375,203,258,556,121100,140487,902769,129774,185140,7093,5689,122,82,4270,4006,59564,56574,341974,78133,72933,4030,1908,77,3351,26538,14942,260392,267939,2103783,266324,325546,169,119,575,47,8019,5307,60793,74424,317262,45542,49857,1059,268,10079,3939,13394,5633,99877,83764,426553,55383,55179,T,4-T-J1
7249,43619,8869,12861,790,990,195,139,30,77,13839,18918,111770,20186,24781,1183,553,63,155,752,39652,49876,280696,53815,73056,5183,3807,303,97,387,1448,21743,21537,132379,25579,33130,1359,1991,318,2788,10747,7373,96341,112553,764120,112804,154815,248,62,910,392,4490,2016,25698,30813,167976,25702,25388,545,119,4346,1712,6328,4361,38727,44251,236495,35709,31564,T,4-T-J9
26976,208454,34343,43960,1416,1452,805,289,91,155,35013,44403,315005,38900,45291,946,469,195,381,1503,178325,142160,1041167,113491,169452,6479,4156,194,184,8396,1980,78420,66799,445323,60824,60237,1260,1246,88,795,43425,27948,551811,478148,3544506,330942,377552,88,37,568,327,8979,3862,87822,66305,391339,41284,44155,1086,403,14196,6871,21982,7942,193527,115743,692103,60120,67831,NT,4-NT-J11
9266,63570,15491,17867,1656,607,270,144,30,120,22482,30120,167677,33758,31037,1824,232,182,146,841,61479,70869,425882,74224,110279,6425,4946,58,270,2919,4549,31160,36648,197236,45927,50324,2250,1352,26,1951,17167,12718,161369,172886,1226773,205010,228740,363,180,1058,465,5854,4092,40968,49789,256040,39360,36717,888,152,8352,3937,10939,5302,79010,73807,367921,53708,47361,T,4-T-J11
19296,166846,24875,34695,1488,875,307,129,212,124,48105,46238,335537,40036,52950,2226,319,356,77,1177,197559,145080,1042408,107067,149945,5590,4403,34,158,1633,1469,90447,64140,459025,54913,50168,2311,612,103,1778,62414,26470,587620,436635,3341149,244223,305049,1299,157,928,937,9648,5246,89091,60640,318655,31347,32581,1346,63,13762,7446,30202,7533,184743,99711,558609,43530,45764,NT,5-NT-J1
7289,48318,8078,7685,834,146,76,185,99,26,13427,21413,112755,20716,17921,372,355,217,357,231,45588,52790,288082,40742,53909,2574,1656,166,166,615,1928,26655,26790,155728,30767,29147,828,556,71,938,9244,9706,162617,153737,1108179,145914,148749,1344,138,225,192,4638,2234,41906,49604,224371,32168,29758,1054,89,5863,3024,7925,4876,82323,80570,349912,45237,33645,T,5-T-J11
51375,466971,97867,131742,4576,5589,804,174,97,51,91270,114357,897382,171747,189638,7447,452,250,180,1115,227364,278010,2133368,306793,483867,21840,18632,101,151,3484,7368,92782,103133,683161,130687,163263,10690,7316,99,5318,37527,24427,488129,484481,4237693,556840,768296,7998,50,2107,335,8864,5109,94634,117156,678651,106310,117020,2346,273,6069,5914,25625,10284,198771,174654,1058779,142515,157995,NT,7-NT-J1
36632,222902,69644,86836,11013,5937,449,172,91,69,83323,114714,844264,220423,268923,18111,149,97,202,608,192166,298132,1859360,434195,669626,51001,34603,67,252,12861,14563,80604,120833,642977,196664,219093,20671,12183,394,8089,28967,24895,322760,405680,3013495,666137,797506,11075,148,255,191,13683,9349,100818,168312,756436,182063,178512,12611,368,14640,8344,20154,10599,160197,187234,913934,192470,175389,T,7-T-J1
8951,63262,20467,25703,2322,1226,219,157,84,94,23928,34071,229881,63643,77053,5909,441,219,26,634,57415,84244,531464,131293,202887,15909,12641,497,82,2560,6208,24487,29467,191412,58163,73189,6776,3590,194,514,11942,7041,95570,136978,1017681,247413,284517,6282,155,423,1041,5164,3171,37198,64090,332092,70998,76659,5262,212,9104,3298,9533,5266,62058,87447,388944,88557,81892,T,7-T-J9
20324,179662,40998,53487,2177,3588,441,178,101,91,37115,48942,363227,62643,75973,3899,235,369,77,951,98069,113376,776289,122284,193410,9878,8504,146,209,1428,1570,39325,39186,289306,56360,77351,3647,1740,103,5308,14099,13077,207676,214051,1884600,289057,377578,4641,135,756,190,4208,2559,44697,54388,345366,52614,62460,2334,63,6321,2944,11369,6134,108699,99736,606395,82817,92531,NT,7-NT-J11
