#### EXPORT DONNEES METEO POUR "NICE (ALPES-MARITIMES)" (LAT/LON: 43.7101728/7.2619532)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,OPINION
2009-01-01,10,6,21,5,9,7,2.5,84,9.875,1024,23.75,10,6,4,113,113,113,météo défavorable
2009-01-02,11,4,14,2,10,4,0,72,10,1022,11.5,11,7,1,113,113,113,météo très défavorable
2009-01-03,7,5,23,2,7,5,0,73,10,1019,5.75,7,2,0,113,113,113,météo très défavorable
2009-01-04,10,3,10,1,10,6,0,68,10,1019,3,10,4,0,113,113,113,météo très défavorable
2009-01-05,10,3,5,0,10,6,0,82,10,1015,22.75,10,7,3,113,113,116,météo très défavorable
2009-01-06,6,4,26,2,6,4,3.7,87,8.5,1012,57.125,6,4,0,116,263,317,météo très défavorable
2009-01-07,5,4,40,2,5,4,24.9,88,6.375,1013,55.125,5,3,-2,230,299,176,météo très défavorable
2009-01-08,5,4,22,4,5,5,1.4,80,8.625,1024,32.5,5,2,0,113,116,263,météo très défavorable
2009-01-09,8,7,30,5,8,7,1.1,73,9.125,1026,26.875,8,3,3,176,113,263,météo très défavorable
2009-01-10,10,4,17,2,7,4,0.1,70,10,1026,14.625,10,5,1,113,113,113,météo très défavorable
2009-01-11,9,6,14,3,7,6,0,72,10,1029,7.75,9,5,3,113,113,113,météo défavorable
2009-01-12,11,5,17,3,8,6,0,69,10,1029,4.375,11,6,1,113,113,113,météo très défavorable
2009-01-13,13,3,21,1,10,5,0,67,10,1024,2.75,13,7,-1,113,113,113,météo correcte
2009-01-14,12,6,7,3,11,8,0,74,10,1013,5.75,12,8,4,113,113,113,météo défavorable
2009-01-15,8,6,21,4,7,6,0.2,70,10,1021,13.875,8,2,2,113,113,113,météo très défavorable
2009-01-16,10,5,13,3,9,7,0,75,10,1025,12.375,10,6,2,113,113,116,météo très défavorable
2009-01-17,10,5,18,4,10,9,0,84,10,1025,28,10,8,2,113,116,113,météo très défavorable
2009-01-18,13,5,28,2,13,12,0.2,86,10,1022,22.5,13,10,1,113,116,113,météo correcte
2009-01-19,12,7,26,7,12,9,8.4,93,9.125,1015,64.5,12,10,3,116,122,302,météo défavorable
2009-01-20,15,13,13,13,14,9,8,94,9.625,1000,32.75,15,12,11,293,113,113,météo correcte
2009-01-21,10,3,15,3,9,6,0,71,10,1007,25,10,2,-1,116,116,113,météo très défavorable
2009-01-22,11,2,14,2,11,5,0.2,66,10,1008,8.625,11,3,-2,113,113,113,météo très défavorable
2009-01-23,18,4,29,4,13,18,7.4,90,7.875,1003,49.75,18,15,1,263,302,113,météo correcte
